gestora,n,p_peso,p_pos,p_delta
ARX Investimentos,72,0.0640057558747072,0.0903447523622394,0.0279985357292219
AZ Quest Investimentos,72,0.832216143663228,0.782424205662011,0.027120075026604
Absolute Investimentos,41,0.431372608838614,0.644293337722023,0.0230541146184972
Atmos Capital,72,0.01837369356194,0.0480891083202307,0.01
BB,72,0.953072327133858,0.280335014030893,0.01
BNP Paribas,72,0.753361063480833,0.265769390798746,0.01
BTG Pactual,72,0.905916381871191,0.90856862331423,0.01
Bogari Capital,72,0.0372211473990516,0.0402967979573111,0.01
Bradesco,72,0.440336002060138,0.649556664418244,0.01
Caixa,72,0.01,0.0759445450664847,0.01
Claritas Investimentos,72,0.01,0.307403709317751,0.01
Constellation Asset Management,72,0.621803425285101,0.0785288283208767,0.01
Credit Suisse,72,0.717264143682836,0.524322849211323,0.01
Dahlia Capital,47,0.221763673144762,0.324259662977057,0.01
Daycoval Asset Management,72,0.0294701647020566,0.067087946666015,0.01
Forpus Capital,72,0.213015103529069,0.0206411808771504,0.01
Guepardo Investimentos,72,0.712927244550104,0.900797417762193,0.0645004050630033
Gávea Investimentos,72,0.0235953417705718,0.0337752284768955,0.01
Ibiuna Investimentos,72,0.01,0.01,0.0202822896488247
Itaú,72,0.601668211030425,0.832402841445591,0.0266106676568528
JGP,72,0.023255205780518,0.186191168969802,0.01
Julius Baer Family Office,72,0.317837014733221,0.297474407676317,0.0221071237057565
Kapitalo Investimentos,72,0.0322139993784389,0.624917383754856,0.01
Kinea Investimentos,72,0.145801840004783,0.273541887725607,0.01
Núcleo Capital,72,0.278046810482158,0.268795846448923,0.01
Occam Brasil,72,0.0762891037732817,0.171606868704947,0.01
Opportunity,72,0.25383723018752,0.317237584900245,0.01
Plural,72,0.338157906505673,0.932372154183931,0.01
Real Investor,72,0.0458182262253494,0.301678645973738,0.0182986507425959
SPX Capital,72,0.188970584585294,0.475842925390449,0.0141973745000966
Safra,72,0.0820328422240393,0.0476539064423649,0.01
Santander,72,0.494263619092141,0.669772284340984,0.01
Sharp Capital,72,0.678107886952992,0.971862879680554,0.01
Squadra Investimentos,72,0.0814180465951752,0.168691473324883,0.015091573153602
TNA Gestão Patrimonial,72,0.355089839143127,0.250967792862319,0.01
Truxt Investimentos,55,0.0185172478599133,0.01,0.01
Verde Asset Management,72,0.0640928840237105,0.146731217477929,0.01
Vinci Partners,72,0.445941786796045,0.369161849114936,0.336344979966165
Western Asset,72,0.471259587849705,0.284994759615298,0.01
XP,72,0.0834031085948331,0.104703508623955,0.01
