gestora,n,p_peso,p_pos,p_delta,p_qtd,p_delta_qtd
ARX Investimentos,72,0.0346786400942178,0.044710974185522,0.0404969344083915,0.0584530169013813,0.0573711507560463
AZ Quest Investimentos,72,0.734919055346763,0.783274721288639,0.0552278592639484,0.715510622584342,0.01
Absolute Investimentos,41,0.524096377175726,0.683729753501416,0.0122206120133797,0.757287648151546,0.0125238473954592
Atmos Capital,72,0.01,0.0233625391586599,0.01,0.0813392165063236,0.0266768249249379
BB,72,0.95656506520128,0.268341442318821,0.01,0.489211288968363,0.01
BNP Paribas,72,0.905886415838916,0.377639602231321,0.01,0.715168261642865,0.0124828101970733
BTG Pactual,72,0.86508205214585,0.899441563223028,0.01,0.769659411383859,0.0144894107443495
Bogari Capital,72,0.0362992337364705,0.0396805483193371,0.01,0.0376856407912958,0.01
Bradesco,72,0.43795428200774,0.659734432695902,0.01,0.730846552352963,0.01
Caixa,72,0.0498122816342931,0.0842283074385547,0.01,0.637282643477758,0.0116185461963571
Claritas Investimentos,72,0.0411656447978482,0.416341236990769,0.0121986861018841,0.130564798195269,0.0141226910222396
Constellation Asset Management,72,0.796461390370241,0.0565568957354636,0.01,0.0139537496908932,0.01
Credit Suisse,72,0.716093684805888,0.645940561726579,0.01,0.65867040692745,0.01
Dahlia Capital,47,0.18911080754838,0.351409183000372,0.017413467089403,0.408695792618855,0.0155373673134566
Daycoval Asset Management,72,0.0369868219176612,0.146476719992875,0.01,0.0642380641906172,0.01
Forpus Capital,72,0.0616876624283829,0.0214124879719671,0.01,0.0221582039246255,0.01
Guepardo Investimentos,72,0.712925897115079,0.900803946970387,0.0644865463352128,0.99,0.0149584555310162
Gávea Investimentos,72,0.559579933750784,0.620533207640066,0.01,0.642200566987627,0.01
Ibiuna Investimentos,72,0.01,0.01,0.0228164976169241,0.0101326452347045,0.01
Itaú,72,0.395987852094827,0.731556894773411,0.0398315238201366,0.557387394702713,0.0164331419235387
JGP,72,0.421548066931543,0.541004068266167,0.01,0.527922771078048,0.01
Julius Baer Family Office,72,0.513376528693335,0.542724755122432,0.018128289682282,0.0566774736736178,0.0217050275011466
Kapitalo Investimentos,72,0.01,0.557714400674502,0.01,0.310106157289488,0.01
Kinea Investimentos,72,0.15981974494615,0.268026134307568,0.01,0.01,0.01
Núcleo Capital,72,0.278046810482158,0.268795846448923,0.01,0.250003979119029,0.01
Occam Brasil,72,0.0234323941059824,0.342628094564785,0.01,0.563031607551916,0.01
Opportunity,72,0.602683349926641,0.667542129712644,0.01,0.717082916993653,0.01
Plural,72,0.324139171029549,0.933729000012547,0.01,0.940592356887581,0.01
Real Investor,72,0.0652236685309479,0.161431548055925,0.0464073205486701,0.271884787305169,0.0799574907731532
SPX Capital,72,0.415355153508485,0.531322318553771,0.0239244333264065,0.435941560743188,0.018496109455029
Safra,72,0.112037281932897,0.069988398347433,0.01,0.367059260543948,0.01
Santander,72,0.35636101046418,0.588055695637138,0.01,0.28146575598566,0.01
Sharp Capital,72,0.628131183238867,0.974970400235849,0.01,0.99,0.01
Squadra Investimentos,72,0.089655661258066,0.458943977660057,0.0145945954754019,0.869134776372424,0.0109387175997801
TNA Gestão Patrimonial,72,0.153865475533811,0.109634258246517,0.01,0.251946192459105,0.01
Truxt Investimentos,55,0.059452638653329,0.0260262506760838,0.01,0.0310411233657993,0.01
Verde Asset Management,72,0.209978882317013,0.101670050291223,0.01,0.170831921240644,0.0115802702096688
Vinci Partners,72,0.507758889944994,0.487614410031595,0.0506557259488122,0.933973880336834,0.0151507903176581
Western Asset,72,0.514432162776537,0.324798064869753,0.01,0.0896437793788494,0.01
XP,72,0.106203109262503,0.118995295394249,0.01,0.0492140676791583,0.01
