data,existe_no_sh,ano
2016-01-29,TRUE,2016
2016-02-29,TRUE,2016
2016-03-31,TRUE,2016
2016-04-29,TRUE,2016
2016-05-31,TRUE,2016
2016-06-30,TRUE,2016
2016-07-29,TRUE,2016
2016-08-31,TRUE,2016
2016-09-30,TRUE,2016
2016-10-31,TRUE,2016
2016-11-30,TRUE,2016
2016-12-30,TRUE,2016
2017-01-31,TRUE,2017
2017-02-24,TRUE,2017
2017-03-31,TRUE,2017
2017-04-28,TRUE,2017
2017-05-31,TRUE,2017
2017-06-30,TRUE,2017
2017-07-31,TRUE,2017
2017-08-31,TRUE,2017
2017-09-29,TRUE,2017
2017-10-31,TRUE,2017
2017-11-30,TRUE,2017
2017-12-29,TRUE,2017
2018-01-31,TRUE,2018
2018-02-28,TRUE,2018
2018-03-29,TRUE,2018
2018-04-30,TRUE,2018
2018-05-30,TRUE,2018
2018-06-29,TRUE,2018
2018-07-31,TRUE,2018
2018-08-31,TRUE,2018
2018-09-28,TRUE,2018
2018-10-31,TRUE,2018
2018-11-30,TRUE,2018
2018-12-31,TRUE,2018
2019-01-31,TRUE,2019
2019-02-28,TRUE,2019
2019-03-29,TRUE,2019
2019-04-30,TRUE,2019
2019-05-31,TRUE,2019
2019-06-28,TRUE,2019
2019-07-31,TRUE,2019
2019-08-30,TRUE,2019
2019-09-30,TRUE,2019
2019-10-31,TRUE,2019
2019-11-29,TRUE,2019
2019-12-31,TRUE,2019
2020-01-31,TRUE,2020
2020-02-28,TRUE,2020
2020-03-31,TRUE,2020
2020-04-30,TRUE,2020
2020-05-29,TRUE,2020
2020-06-30,TRUE,2020
2020-07-31,TRUE,2020
2020-08-31,TRUE,2020
2020-09-30,TRUE,2020
2020-10-30,TRUE,2020
2020-11-30,TRUE,2020
2020-12-31,TRUE,2020
2021-01-29,TRUE,2021
2021-02-26,TRUE,2021
2021-03-31,TRUE,2021
2021-04-30,TRUE,2021
2021-05-31,TRUE,2021
2021-06-30,TRUE,2021
2021-07-30,TRUE,2021
2021-08-31,TRUE,2021
2021-09-30,TRUE,2021
2021-10-29,TRUE,2021
2021-11-30,TRUE,2021
2021-12-31,TRUE,2021
