data,pct_sh_com_cons
2016-01-29,0.746352941176471
2016-02-29,0.747855100095329
2016-03-31,0.750970873786408
2016-04-29,0.740009866798224
2016-05-31,0.73678963110668
2016-06-30,0.748481781376518
2016-07-29,0.737888832228455
2016-08-31,0.735503560528993
2016-09-30,0.733637747336378
2016-10-31,0.731062531774276
2016-11-30,0.731694828469022
2016-12-30,0.738863287250384
2017-01-31,0.731045081967213
2017-02-24,0.738461538461539
2017-03-31,0.735503560528993
2017-04-28,0.733602421796166
2017-05-31,0.730206757438225
2017-06-30,0.734069242348219
2017-07-31,0.731020613373555
2017-08-31,0.737975951903808
2017-09-29,0.737762237762238
2017-10-31,0.748628428927681
2017-11-30,0.749003984063745
2017-12-29,0.753731343283582
2018-01-31,0.745754245754246
2018-02-28,0.721613545816733
2018-03-29,0.74604743083004
2018-04-30,0.736323311976343
2018-05-30,0.734774066797642
2018-06-29,0.738875305623472
2018-07-31,0.739024390243903
2018-08-31,0.7431640625
2018-09-28,0.739912493923189
2018-10-31,0.7496346809547
2018-11-30,0.75
2018-12-31,0.749402199904352
2019-01-31,0.748215135649691
2019-02-28,0.756501182033097
2019-03-29,0.752358490566038
2019-04-30,0.763551401869159
2019-05-31,0.76036866359447
2019-06-28,0.763983628922237
2019-07-31,0.761045987376015
2019-08-30,0.758868432869331
2019-09-30,0.763531499556344
2019-10-31,0.758439281017098
2019-11-29,0.757273122014763
2019-12-31,0.75660931598825
2020-01-31,0.760951188986233
2020-02-28,0.767202307375361
2020-03-31,0.766408479412964
2020-04-30,0.751510269834877
2020-05-29,0.759936406995231
2020-06-30,0.755460218408736
2020-07-31,0.75700575815739
2020-08-31,0.760393046107332
2020-09-30,0.758968609865471
2020-10-30,0.752394988946205
2020-11-30,0.750813743218807
2020-12-31,0.751328374070138
2021-01-29,0.75
2021-02-26,0.753300903405143
2021-03-31,0.757368060315285
2021-04-30,0.75388251181634
2021-05-31,0.757443961191034
2021-06-30,0.752055244985202
2021-07-30,0.748466257668712
2021-08-31,0.75095785440613
2021-09-30,0.746131986106726
2021-10-29,0.739524702939337
2021-11-30,0.73640037301834
2021-12-31,0.731205891377723
