arquivo,base,header,n_cols
cons_2016.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
cons_2017.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
cons_2018.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
cons_2019.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
cons_2020.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
cons_2021.csv,CONS,CNPJ;Anbima;Código;Nome;Tipo_Ativo;Data_Competência;Nome_Ativo;Valor_Ativo_mil;Participação_Ativo,9
SH_2016.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
SH_2017.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
SH_2018.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
SH_2019.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
SH_2020.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
SH_2021.csv,SH,COD_FUNDO;CNPJ;NOME_FUNDO;GESTORA;CLASSIFICACAO_ANBIMA;DATA;APLICAÇÃO;COTA;NUMERO_DE_COTISTAS;PATRIMONIO_LIQUIDO_(MIL),10
