ano,mes,n_nos,n_arestas,dag,prof_max
2016,1,1429,2929,TRUE,5
2016,2,1416,2907,TRUE,5
2016,3,1395,2909,TRUE,5
2016,4,1378,2866,TRUE,5
2016,5,1355,2840,TRUE,5
2016,6,1350,2822,TRUE,5
2016,7,1340,2815,TRUE,5
2016,8,1352,2848,TRUE,5
2016,9,1366,2840,TRUE,5
2016,10,1358,2789,TRUE,5
2016,11,1357,2811,TRUE,5
2016,12,1364,2834,TRUE,5
2017,1,1362,2848,TRUE,5
2017,2,1363,2843,TRUE,5
2017,3,1390,2918,TRUE,5
2017,4,1409,2934,TRUE,5
2017,5,1401,2859,TRUE,5
2017,6,1410,2831,TRUE,5
2017,7,1422,2850,TRUE,5
2017,8,1427,2854,TRUE,5
2017,9,1431,2897,TRUE,5
2017,10,1439,3011,TRUE,6
2017,11,1445,3055,TRUE,6
2017,12,1455,3124,TRUE,6
2018,1,1458,3114,TRUE,6
2018,2,1477,3171,TRUE,6
2018,3,1494,3225,TRUE,6
2018,4,1499,3226,TRUE,6
2018,5,1499,3191,TRUE,7
2018,6,1510,3216,TRUE,7
2018,7,1523,3168,TRUE,7
2018,8,1528,3113,TRUE,7
2018,9,1525,3120,TRUE,7
2018,10,1525,3137,TRUE,7
2018,11,1530,3230,TRUE,7
2018,12,1576,3304,TRUE,7
2019,1,1589,3398,TRUE,7
2019,2,1601,3470,TRUE,7
2019,3,1602,3489,TRUE,7
2019,4,1611,3548,TRUE,7
2019,5,1630,3578,TRUE,7
2019,6,1668,3649,TRUE,7
2019,7,1688,3706,TRUE,7
2019,8,1702,3811,TRUE,7
2019,9,1709,3841,TRUE,7
2019,10,1733,3918,TRUE,7
2019,11,1750,4025,TRUE,7
2019,12,1823,4217,TRUE,6
2020,1,1847,4316,TRUE,6
2020,2,1879,4394,TRUE,6
2020,3,1895,4437,TRUE,7
2020,4,1915,4531,TRUE,7
2020,5,1932,4500,TRUE,6
2020,6,1964,4520,TRUE,6
2020,7,2004,4626,TRUE,7
2020,8,2039,4697,TRUE,7
2020,9,2063,4727,TRUE,7
2020,10,2088,4841,TRUE,7
2020,11,2137,4875,TRUE,7
2020,12,2183,4940,TRUE,7
2021,1,2220,5050,TRUE,6
2021,2,2253,5149,TRUE,7
2021,3,2283,5334,TRUE,7
2021,4,2323,5463,TRUE,7
2021,5,2360,5515,TRUE,8
2021,6,2399,5588,TRUE,8
2021,7,2439,5705,TRUE,9
2021,8,2470,5822,TRUE,9
2021,9,2503,5924,TRUE,9
2021,10,2520,5954,TRUE,8
2021,11,2531,5914,TRUE,8
2021,12,2565,5968,TRUE,8
