grupo,gross_med_mil,dedup_med_mil,dup_pct_med
Itaú,2128792.23392717,1200057.80080929,41.6914975709335
Bradesco,758382.406731317,510833.393805592,32.4609999096493
BB,491192.980326342,314273.534521867,35.3853974424335
Kapitalo Investimentos,454706.368285436,258557.931034579,43.3864964504091
Santander,426728.262233991,279517.034075888,32.1742726079355
Occam Brasil,271773.475454691,163809.241108214,38.7350230556992
Guepardo Investimentos,220291.367483687,96816.0401367035,55.733369579663
SPX Capital,201813.905943314,95658.7764461945,53.6663611415723
Truxt Investimentos,189848.96551859,79632.3198971273,53.5654811413807
Safra,185754.443056466,106440.758821732,42.3295847853274
BTG Pactual,174397.79984464,106690.075874166,35.59737371584
Caixa,166130.874186964,152391.004325714,8.92617620445058
Credit Suisse,157053.510817861,110771.121025302,27.1338417159799
Vinci Partners,154068.01734141,138250.299838591,10.0847334762385
Western Asset,145107.260190478,129571.585193491,11.5359926846276
AZ Quest Investimentos,144325.996559111,86985.339693827,36.5586482368138
Núcleo Capital,136477.032379115,81383.3001869009,34.3795817749048
Sharp Capital,120338.451877081,74836.9802880592,12.76443026602
Squadra Investimentos,114438.316863114,60191.0895840365,39.8130253245009
Dahlia Capital,105770.428479857,52812.1809589163,50.2052941934516
Verde Asset Management,101485.889615438,83459.1299044979,20.5676857230571
BNP Paribas,97489.9522999922,78057.4297281776,19.0937620265551
Atmos Capital,76109.974818446,38678.8476034666,49.6513082888801
XP,75294.9625403271,57651.8606062891,18.823406555666
TNA Gestão Patrimonial,43448.4816776387,29077.5028177988,32.9793997931277
ARX Investimentos,42426.7858446113,30010.8006232883,24.4804247139824
Julius Baer Family Office,42051.1053815824,32563.6534208945,25.1624499458103
Claritas Investimentos,40770.0332604548,30248.1662914004,22.652989714473
Ibiuna Investimentos,38439.7639957122,20191.404139401,46.9997831957845
Constellation Asset Management,31848.4340866419,16179.3362643308,39.081108444194
Bogari Capital,17153.9128754068,9616.22016227803,41.8648586926902
Plural,16779.3587344101,16593.8843406835,0.542434632808961
Absolute Investimentos,9613.08601873164,4789.75658011258,49.7796357619048
Kinea Investimentos,9216.46231569553,4885.3961044794,10.804691765446
Daycoval Asset Management,5850.37493581669,5092.68341119734,11.4876986057877
Legacy Capital,4732.06487918715,4732.06487918715,0
Opportunity,3848.97161375045,-5445.92529577348,45.0607319371634
Real Investor,2008.4332042897,2054.84978605749,5.63128454846115
AZ Legan,28.0072796628848,22.7109998005281,-0.403509302726377
Forpus Capital,-1319.74526484589,-668.088001950909,49.475503779677
JGP,-40473.647589615,-16420.4205695604,44.5781175021152
Gávea Investimentos,-55066.5833460221,-31536.6922565428,42.5402857162443
